"","Restaurant","User-Rating","No-Ratings","Address","City","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","DistanceCityCenter","DistanceCEU","margherita_pizza_price","beverage_price","Tags"
"27","Grand Re Pizza Hungary",4.7,119,"Akácfa utca 65.","Budapest","65, Akácfa utca, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1073, Magyarország",47.5018885,19.063689,47.4983815,19.0404707,"1.792271797767323 km","1.0253055918082952 km","1890","350","PizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"28","Grano Pizza & Pasta & Salad",4.7,202,"Rákóczi út 71/a","Pécs","Rákóczi út, Puturluk, Budai városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7626, Magyarország",46.0748645,18.2398524,46.0763222,18.2280746,"0.9253990501481445 km","170.17310681187567 km","1490",NA,"PizzaTésztaOlaszTésztaAlgida"
"29","Grizzly Pizzéria",4.7,70,"Õz utca 5","Pécs","Apolló pizzéria és étterem, 5, Õz utca, Solidus Lakópark, Szigeti külváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07456535,18.2132904517594,46.0763222,18.2280746,"1.1602232940662367 km","170.95168130178058 km","1460",NA,"PizzaKészpénzes fizetés"
"30","Home Bistro extra",3.6,30,"Üllõi út 121","Budapest","Nagyvárad Gyógyszertár, 121, Üllõi út, Középsõ-Ferencváros, Budapest, Közép-Magyarország, 1091, Magyarország",47.4791363,19.0883315,47.4983815,19.0404707,"4.193694969751101 km","3.7604397915647234 km","1490",NA,"PizzaReggelizõhelyMagyarosReggelizõhelyKészpénzes fizetés"
"31","Il Classico Nyugati tér",2.6,5,"Nyugati tér 6","Budapest","Nyugati tér, Terézváros, VI. kerület, Budapest, Közép-Magyarország, 1065, Magyarország",47.5103735,19.0556197,47.4983815,19.0404707,"1.7550393055960771 km","1.1289679080478827 km","2240",NA,"OlaszPizzaNetPincér GOSZÉP kártyás fizetésÉrintkezésmentes kiszállítás"
"32","Il Terzo Cerchio Étterem Pizzéria",4.3,360,"Dohány u. 40","Budapest","Savannah Music Club, 40, Dohány utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1074, Magyarország",47.496795,19.066363,47.4983815,19.0404707,"1.9588652509611408 km","1.3043455961009314 km","2150","590","OlaszPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"33","Il Treno - Trombitás",4.5,382,"Retek utca 12","Budapest","Hunyadi Gasztromûhely, 12, Retek utca, Országút, Budapest, Közép-Magyarország, 1024, Magyarország",47.5081855,19.0247339,47.4983815,19.0404707,"1.6105163910875513 km","2.07867110655428 km","1790",NA,"PizzaOlaszKészpénzes fizetés"
"34","Inferno's Pizzéria",4.5,61,"Õz utca 5","Pécs","Apolló pizzéria és étterem, 5, Õz utca, Solidus Lakópark, Szigeti külváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07456535,18.2132904517594,46.0763222,18.2280746,"1.1602232940662367 km","170.95168130178058 km","1320",NA,"PizzaKészpénzes fizetésSZÉP kártyás fizetés"
"35","Kajamûhely Étterem és Pizzéria",3.6,203,"Fehér út 10","Budapest","Mineralholding Kft., 10, Fehér út, Ligettelek, Budapest, Közép-Magyarország, 1106, Magyarország",47.5003088,19.1388279578021,47.4983815,19.0404707,"7.413775586765194 km","6.681143540001907 km","1390",NA,"MagyarosPizzaKészpénzes fizetésSZÉP kártyás fizetés"
"36","Király 21 Beerhouse & Grill",4.9,59,"Király utca 21","Pécs","Addiktológia, 21, Király utca, Zidina, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7621, Magyarország",46.0771716,18.2320543,46.0763222,18.2280746,"0.3220062965873405 km","170.15140046239824 km","1790",NA,"PizzaOlaszNemzetköziMexikóiAmerikai"
"37","Kupak Bar & Bistro",4.2,57,"Dob utca 2","Budapest","Drum Café, 2, Dob utca, Erzsébetváros, Budapest, Közép-Magyarország, 1072, Magyarország",47.4961876,19.0588395,47.4983815,19.0404707,"1.4053716543295465 km","0.8394648690588776 km","1190",NA,"PizzaNemzetköziMagyarosNetPincér GOSZÉP kártyás fizetés"
