"","Restaurant","Product_Name","Price","User-Rating","No-Ratings","Address","Feature1","Feature2","Feature3","Feature4","Feature5","City","ProperAddress","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","distance","size"
"49","Don Pepe - Kálmán Imre utca","Vegán Pepe margaritája pizza vékony tésztával (32cm)","1990",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","32"
"50","Don Pepe - Kálmán Imre utca","Vegán Pepe margaritája pizza normál tésztával (32cm)","1990",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","32"
"51","Don Pepe - Kálmán Imre utca","LightCarb Pepe margaritája pizza normál tésztával (32cm)","1890",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","32"
"52","Don Pepe - Kálmán Imre utca","LightCarb Pepe margaritája pizza vékony tésztával (32cm)","1890",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","32"
"53","Don Pepe - Kálmán Imre utca","Pepe margaritája pizza (32cm)","1890",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","32"
"54","Don Pepe - Kálmán Imre utca","Pepe margaritája pizza (32cm) vékony tésztával","1890",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","32"
"55","Don Pepe - Kálmán Imre utca","LightCarb Vegán Pepe margaritája pizza normál tésztával (32cm)","1990",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","32"
"56","Don Pepe - Kálmán Imre utca","LightCarb Vegán Pepe margaritája pizza vékony tésztával (32cm)","1990",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","32"
"57","Don Pepe - Kálmán Imre utca","XXL Pepe margaritája pizza (55cm)","5100",4.6,2009,"Kálmán Imre 23","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Budapest","Budapest Kálmán Imre 23","Kálmán Imre, Nagymezõ utca, Terézváros, Budapest, Közép-Magyarország, 1066, Magyarország",47.5039752,19.0597753,47.4983815,19.0404707,"1.5818290623808602 km","55"
"58","Don Pepe - Pécs","Pepe margaritája pizza (32cm) vékony tésztával","1890",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","32"
"59","Don Pepe - Pécs","Vegán Pepe margaritája pizza normál tésztával (32cm)","1990",4.7,875,"Megyeri út 76","Olasz","Nemzetközi","Magyaros","Hamburger","Vegán","Pécs","Pécs Megyeri út 76","Pécs Pláza posta, 76, Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7609, Magyarország",46.0495757,18.210868,46.0763222,18.2280746,"3.257440977129086 km","32"
