"","Restaurant","Product_Name","Price","User-Rating","No-Ratings","Address","Feature1","Feature2","Feature3","Feature4","Feature5","City","ProperAddress","Location","RestaurantLatitude","RestaurantLongitude","CenterLatitude","CenterLongitude","distance","size"
"125","Maestro Pizzeria - Pécs","Extra Margherita pizza (32cm)","2290",4.5,178,"Klimó György utca 12","Pizza","Magyaros","Hamburger","Amerikai","Olasz","Pécs","Pécs Klimó György utca 12","Klimó György utca, Solidus Lakópark, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0767079,18.2207357,46.0763222,18.2280746,"0.569327737637427 km","32"
"126","Maestro Pizzeria - Pécs","Margherita pizza (32cm)","1190",4.5,178,"Klimó György utca 12","Pizza","Magyaros","Hamburger","Amerikai","Olasz","Pécs","Pécs Klimó György utca 12","Klimó György utca, Solidus Lakópark, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0767079,18.2207357,46.0763222,18.2280746,"0.569327737637427 km","32"
"127","Maestro Pizzeria - Pécs","Extra Margherita óriás domino pizza (60x60)","5990",4.5,178,"Klimó György utca 12","Pizza","Magyaros","Hamburger","Amerikai","Olasz","Pécs","Pécs Klimó György utca 12","Klimó György utca, Solidus Lakópark, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0767079,18.2207357,46.0763222,18.2280746,"0.569327737637427 km","60"
"128","Maestro Pizzeria - Pécs","Margherita óriás domino pizza (60x60)","4990",4.5,178,"Klimó György utca 12","Pizza","Magyaros","Hamburger","Amerikai","Olasz","Pécs","Pécs Klimó György utca 12","Klimó György utca, Solidus Lakópark, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0767079,18.2207357,46.0763222,18.2280746,"0.569327737637427 km","60"
"129","Maestro Pizzeria - Pécs","Margherita pizza (52cm)","2890",4.5,178,"Klimó György utca 12","Pizza","Magyaros","Hamburger","Amerikai","Olasz","Pécs","Pécs Klimó György utca 12","Klimó György utca, Solidus Lakópark, Belváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0767079,18.2207357,46.0763222,18.2280746,"0.569327737637427 km","52"
"130","Mercetti - az olasz konyha szerelmese","Pizza Margherita (32cm)","1990",4.8,347,"Erkel utca 9","Pizza","Vegetariánus","Saláta","Tészta","Olasz","Budapest","Budapest Erkel utca 9","9, Erkel utca, Belsõ-Ferencváros, IX. kerület, Budapest, Közép-Magyarország, 1092, Magyarország",47.48676695,19.0622189527671,47.4983815,19.0404707,"2.0864374130674737 km","32"
"131","Monkey's Bistro - Szeged","Margherita pizza (kb. 33-35cm)","1840",4.5,51,"Pille utca 15","Magyaros","Hamburger","Pizza","Készpénzes fizetés",NA,"Szeged","Szeged Pille utca 15","Pizza Monkey, 15, Pille utca, Tömörkény-üdülõtelep, Felsõváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6723, Magyarország",46.25943445,20.17038344768,46.2546312,20.1486016,"1.7622884327848802 km","35"
"132","Monkey's Bistro - Szeged","Margaréta szénhidrát csökkentett pizza (32cm)","2040",4.5,51,"Pille utca 15","Magyaros","Hamburger","Pizza","Készpénzes fizetés",NA,"Szeged","Szeged Pille utca 15","Pizza Monkey, 15, Pille utca, Tömörkény-üdülõtelep, Felsõváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6723, Magyarország",46.25943445,20.17038344768,46.2546312,20.1486016,"1.7622884327848802 km","32"
"133","Monkey's Bistro - Szeged","Margaréta gluténmentes pizza (32cm)","2340",4.5,51,"Pille utca 15","Magyaros","Hamburger","Pizza","Készpénzes fizetés",NA,"Szeged","Szeged Pille utca 15","Pizza Monkey, 15, Pille utca, Tömörkény-üdülõtelep, Felsõváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6723, Magyarország",46.25943445,20.17038344768,46.2546312,20.1486016,"1.7622884327848802 km","32"
"134","Monkey's Bistro - Szeged","Margaréta pizza (32cm)","2040",4.5,51,"Pille utca 15","Magyaros","Hamburger","Pizza","Készpénzes fizetés",NA,"Szeged","Szeged Pille utca 15","Pizza Monkey, 15, Pille utca, Tömörkény-üdülõtelep, Felsõváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6723, Magyarország",46.25943445,20.17038344768,46.2546312,20.1486016,"1.7622884327848802 km","32"
"135","NaPizza","Margherita pizza (32cm)","1490",4.9,345,"Megyeri út 72","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Megyeri út 72","Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7632, Magyarország",46.0485744,18.2138037,46.0763222,18.2280746,"3.275949177753339 km","32"
"136","NaPizza","Margherita pizza (45cm)","2690",4.9,345,"Megyeri út 72","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Megyeri út 72","Megyeri út, Kertváros, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7632, Magyarország",46.0485744,18.2138037,46.0763222,18.2280746,"3.275949177753339 km","45"
"137","Napsugár Pizzéria-Étterem","Margherita pizza (26cm)","1190",4.4,221,"Szabadság utca 26","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs Szabadság utca 26","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","26"
"138","Napsugár Pizzéria-Étterem","Margherita pizza (60cm)","3880",4.4,221,"Szabadság utca 26","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs Szabadság utca 26","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","60"
"139","Napsugár Pizzéria-Étterem","Margherita pizza (45cm)","2380",4.4,221,"Szabadság utca 26","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs Szabadság utca 26","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","45"
"140","Napsugár Pizzéria-Étterem","Margherita pizza (32cm)","1380",4.4,221,"Szabadság utca 26","Olasz","Magyaros","Hamburger","Amerikai","Pizza","Pécs","Pécs Szabadság utca 26","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","32"
"141","Okay Italia Szent István krt. Expressz","Margherita pizza (32cm)","1990",4.5,82,"Szent István körút 20","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Szent István körút 20","Okay Italia, 20, Szent István körút, Újlipótváros, Budapest, Közép-Magyarország, 1137, Magyarország",47.5117413,19.0527354,47.4983815,19.0404707,"1.7492867391253457 km","32"
"142","Pálma Pub","Margherita pizza (32cm)","1590",4.6,66,"Simonyi utca 44","Olasz","Magyaros","Grill","Pizza","Grill","Debrecen","Debrecen Simonyi utca 44","Simonyi út, Nagyerdõ, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4032, Magyarország",47.5457523,21.6267052,47.531399,21.6259782,"1.5967575208467644 km","32"
"143","Panda Fast Food","Margherita pizza (32cm)","1290",4.4,84,"Százszorszép utca 19","Nemzetközi","Magyaros","Hamburger","Tészta","Pizza","Pécs","Pécs Százszorszép utca 19","19, Százszorszép utca, Uránbányász-tér, Kovácstelep, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7634, Magyarország",46.0644738,18.1896202595455,46.0763222,18.2280746,"3.2534880691717962 km","32"
"144","Panda Fast Food","Margherita pizza (45cm)","2590",4.4,84,"Százszorszép utca 19","Nemzetközi","Magyaros","Hamburger","Tészta","Pizza","Pécs","Pécs Százszorszép utca 19","19, Százszorszép utca, Uránbányász-tér, Kovácstelep, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7634, Magyarország",46.0644738,18.1896202595455,46.0763222,18.2280746,"3.2534880691717962 km","45"
"145","Paradicsom Pizza","Margherita pizza (32cm)","1190",4.7,169,"Rókusalja utca 14","Magyaros","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rókusalja utca 14","14, Rókusalja utca, Solidus Lakópark, Rókusdomb, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07763905,18.2125890179148,46.0763222,18.2280746,"1.2068090927190596 km","32"
"146","Paradicsom Pizza","Margherita pizza (45cm)","1990",4.7,169,"Rókusalja utca 14","Magyaros","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rókusalja utca 14","14, Rókusalja utca, Solidus Lakópark, Rókusdomb, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07763905,18.2125890179148,46.0763222,18.2280746,"1.2068090927190596 km","45"
"147","Paradicsom Pizza","Margherita pizza (60cm)","2990",4.7,169,"Rókusalja utca 14","Magyaros","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Rókusalja utca 14","14, Rókusalja utca, Solidus Lakópark, Rókusdomb, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.07763905,18.2125890179148,46.0763222,18.2280746,"1.2068090927190596 km","60"
"148","Park Pizza","Margaréta pizza (30cm)","1130",4.8,124,"Dózsa György utca 104","Magyaros","Amerikai","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs Dózsa György utca 104","Dózsa György utca, Viktória-lakópark, Diós, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7630, Magyarország",46.0905828,18.259445,46.0763222,18.2280746,"2.8982714496396507 km","30"
"149","Park Pizza","Margaréta pizza (45cm)","2590",4.8,124,"Dózsa György utca 104","Magyaros","Amerikai","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs Dózsa György utca 104","Dózsa György utca, Viktória-lakópark, Diós, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7630, Magyarország",46.0905828,18.259445,46.0763222,18.2280746,"2.8982714496396507 km","45"
"150","Park Pizza","Margaréta pizza (60cm)","4090",4.8,124,"Dózsa György utca 104","Magyaros","Amerikai","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs Dózsa György utca 104","Dózsa György utca, Viktória-lakópark, Diós, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7630, Magyarország",46.0905828,18.259445,46.0763222,18.2280746,"2.8982714496396507 km","60"
"151","Pasta Culture Tésztabár","Margherita pizza (32cm)","1290",4.5,44,"Október 6. utca 19","Pizza","Tészta","Olasz","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Október 6. utca 19","The Selection, 19, Október 6. utca, Lipótváros, Budapest, Közép-Magyarország, 1051, Magyarország",47.5018193,19.0509007,47.4983815,19.0404707,"0.8738543032873295 km","32"
"152","Patkó Bandi Étterem-Sörözõ","Margaréta korong (32cm)","1690",4.6,12,"Váci út 12","Magyaros","Hamburger","Pizza","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Váci út 12","12, Váci út, Újlipótváros, VI. kerület, Budapest, Közép-Magyarország, 1132, Magyarország",47.5128519,19.057197,47.4983815,19.0404707,"2.043561772152234 km","32"
"153","Patkó Bandi Étterem-Sörözõ","Margarita pizza (32cm)","1390",4.6,12,"Váci út 12","Magyaros","Hamburger","Pizza","NetPincér GO","SZÉP kártyás fizetés","Budapest","Budapest Váci út 12","12, Váci út, Újlipótváros, VI. kerület, Budapest, Közép-Magyarország, 1132, Magyarország",47.5128519,19.057197,47.4983815,19.0404707,"2.043561772152234 km","32"
"154","Piedone Pizzéria","Margarita pizza (28cm)","1390",3.9,206,"Baross Gábor utca 27","Olasz","Magyaros","Hamburger","Grill","Pizza","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","28"
"155","Piedone Pizzéria","Margarita pizza (32cm)","1590",3.9,206,"Baross Gábor utca 27","Olasz","Magyaros","Hamburger","Grill","Pizza","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","32"
"156","Piedone Pizzéria","Margarita pizza (60cm)","3990",3.9,206,"Baross Gábor utca 27","Olasz","Magyaros","Hamburger","Grill","Pizza","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","60"
"157","Piedone Pizzéria","Margarita pizza (45cm)","2990",3.9,206,"Baross Gábor utca 27","Olasz","Magyaros","Hamburger","Grill","Pizza","Debrecen","Debrecen Baross Gábor utca 27","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","45"
"158","Pizza Bagoly Pécs","Margherita pizza (32cm)","1300",4.5,31,"József Attila utca 41","Olasz","Hamburger","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs József Attila utca 41","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","32"
"159","Pizza Bagoly Pécs","Margherita pizza (60cm)","3300",4.5,31,"József Attila utca 41","Olasz","Hamburger","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés","Pécs","Pécs József Attila utca 41","Gól sörözõ, 41, József Attila utca, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070713,18.215733,46.0763222,18.2280746,"1.140298312187121 km","60"
"160","Pizza di Casa Pécs","Margaréta pizza (45cm)","2250",4.7,594,"Megyeri út 4","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Megyeri út 4","Professors Gym, 4, Megyeri út, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070328,18.2132857,46.0763222,18.2280746,"1.3239499715173357 km","45"
"161","Pizza di Casa Pécs","Margaréta pizza (30cm)","1190",4.7,594,"Megyeri út 4","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Megyeri út 4","Professors Gym, 4, Megyeri út, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070328,18.2132857,46.0763222,18.2280746,"1.3239499715173357 km","30"
"162","Pizza di Casa Pécs","Margherita pizzagolyó","1290",4.7,594,"Megyeri út 4","Olasz","Pizza","Készpénzes fizetés",NA,NA,"Pécs","Pécs Megyeri út 4","Professors Gym, 4, Megyeri út, Solidus Lakópark, Ispitaalja, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.070328,18.2132857,46.0763222,18.2280746,"1.3239499715173357 km",""
"163","Pizza DiAngelo","Margherita pizza (45cm)","3260",4.6,208,"Csongrádi sugárút 8/B","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Csongrádi sugárút 8/B","Pizza Hub, 8/B, Csongrádi sugárút, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6721, Magyarország",46.2601442,20.1505599,46.2546312,20.1486016,"0.6311325608131668 km","45"
"164","Pizza DiAngelo","Margherita pizza (32cm)","1770",4.6,208,"Csongrádi sugárút 8/B","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Szeged","Szeged Csongrádi sugárút 8/B","Pizza Hub, 8/B, Csongrádi sugárút, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6721, Magyarország",46.2601442,20.1505599,46.2546312,20.1486016,"0.6311325608131668 km","32"
"165","Pizza e Pasta","Margherita pizza (32cm)","1490",4.5,72,"Klauzál Tér 6","Pizza","Olasz","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Szeged","Szeged Klauzál Tér 6","6, Klauzál tér, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6720, Magyarország",46.2520012,20.1477129,46.2546312,20.1486016,"0.30026516937788045 km","32"
"166","Pizza e Pasta","Margherita pizza (20cm)","1090",4.5,72,"Klauzál Tér 6","Pizza","Olasz","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Szeged","Szeged Klauzál Tér 6","6, Klauzál tér, Franciahögy lakópark, Belváros, Szeged, Szegedi járás, Csongrád-Csanád megye, Dél-Alföld, Alföld és Észak, 6720, Magyarország",46.2520012,20.1477129,46.2546312,20.1486016,"0.30026516937788045 km","20"
"167","Pizza EATaliano - Pest","Margherita klasszikus EATaliano pizza (27 cm)","2050",4.3,41,"Vécsey u. 5","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Vécsey u. 5","Bortársaság - Kossuth tér, 5, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505647,19.0488386,47.4983815,19.0404707,"1.024681373750218 km","27"
"168","Pizza EATaliano - Pest","Gondola Margherita","1350",4.3,41,"Vécsey u. 5","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Vécsey u. 5","Bortársaság - Kossuth tér, 5, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505647,19.0488386,47.4983815,19.0404707,"1.024681373750218 km",""
"169","Pizza EATaliano - Pest","Margherita klasszikus EATaliano pizza 60% teljes kiõrlésû lisztbõl (27 cm)","2250",4.3,41,"Vécsey u. 5","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Vécsey u. 5","Bortársaság - Kossuth tér, 5, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505647,19.0488386,47.4983815,19.0404707,"1.024681373750218 km","27"
"170","Pizza EATaliano - Pest","Margherita vékony tésztás pizza (32cm)","2300",4.3,41,"Vécsey u. 5","Olasz","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,"Budapest","Budapest Vécsey u. 5","Bortársaság - Kossuth tér, 5, Vécsey utca, Lipótváros, Budapest, Közép-Magyarország, 1054, Magyarország",47.505647,19.0488386,47.4983815,19.0404707,"1.024681373750218 km","32"
"171","Pizza Expressz Futárszolgálat","Margherita pizza (26 cm)","1100",4.6,46,"Szabadság utca 26","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Pécs","Pécs Szabadság utca 26","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","26"
"172","Pizza Expressz Futárszolgálat","Margherita pizza (32 cm)","1250",4.6,46,"Szabadság utca 26","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Pécs","Pécs Szabadság utca 26","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","32"
"173","Pizza Expressz Futárszolgálat","Margherita pizza (60 cm)","3250",4.6,46,"Szabadság utca 26","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Pécs","Pécs Szabadság utca 26","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","60"
"174","Pizza Expressz Futárszolgálat","Margherita pizza (45 cm)","2250",4.6,46,"Szabadság utca 26","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Pécs","Pécs Szabadság utca 26","Szabadság út, Schlauch-villatelep, Siklósi városrész, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7623, Magyarország",46.0677278,18.2251568,46.0763222,18.2280746,"0.9815978965780986 km","45"
"175","Pizza Fabbrica","Margarita pizza (32cm)","1690",4.5,97,"Garay utca 30","Hamburger","Magyaros","Olasz","Pizza","Készpénzes fizetés","Budapest","Budapest Garay utca 30","30, Garay utca, Ligetváros, Erzsébetváros, VII. kerület, Közép-Magyarország, 1076, Magyarország",47.502362,19.0827824,47.4983815,19.0404707,"3.2184637560274996 km","32"
"176","Pizza Gyár","Margherita pizza (60cm)","3930",4.8,1039,"Xavér utca 19","Pizza","Olasz","Pizza","Ételérzékenyeknek is","Algida","Pécs","Pécs Xavér utca 19","19, Xavér utca, Solidus Lakópark, Rókusdomb, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0778077,18.2128925227778,46.0763222,18.2280746,"1.1859705311178736 km","60"
"177","Pizza Gyár","Margherita pizza (26cm)","1170",4.8,1039,"Xavér utca 19","Pizza","Olasz","Pizza","Ételérzékenyeknek is","Algida","Pécs","Pécs Xavér utca 19","19, Xavér utca, Solidus Lakópark, Rókusdomb, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0778077,18.2128925227778,46.0763222,18.2280746,"1.1859705311178736 km","26"
"178","Pizza Gyár","Margherita pizza (45cm)","2480",4.8,1039,"Xavér utca 19","Pizza","Olasz","Pizza","Ételérzékenyeknek is","Algida","Pécs","Pécs Xavér utca 19","19, Xavér utca, Solidus Lakópark, Rókusdomb, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0778077,18.2128925227778,46.0763222,18.2280746,"1.1859705311178736 km","45"
"179","Pizza Gyár","Margherita pizza (32cm)","1380",4.8,1039,"Xavér utca 19","Pizza","Olasz","Pizza","Ételérzékenyeknek is","Algida","Pécs","Pécs Xavér utca 19","19, Xavér utca, Solidus Lakópark, Rókusdomb, Pécs, Pécsi járás, Baranya megye, Dél-Dunántúl, Dunántúl, 7624, Magyarország",46.0778077,18.2128925227778,46.0763222,18.2280746,"1.1859705311178736 km","32"
"180","Pizza Holiday Debrecen","Margharita pizza (30cm)","1560",4.8,321,"Baross Gábor utca 31","Magyaros","Hamburger","Pizza","Készpénzes fizetés",NA,"Debrecen","Debrecen Baross Gábor utca 31","Baross Gábor utca, Kandia, Debrecen, Debreceni járás, Hajdú-Bihar megye, Észak-Alföld, Alföld és Észak, 4029, Magyarország",47.5300366,21.6376453,47.531399,21.6259782,"0.8914907305111487 km","30"
"181","Pizza Hungarica","Hungarica Margherita pizza (32cm)","1590",3.7,25,"Duna utca 3","Reggelizõhely","Cukrászda","Pizza","Reggelizõhely","Készpénzes fizetés","Budapest","Budapest Duna utca 3","Vinolia, 3, Duna utca, Belváros, Budapest, Közép-Magyarország, 1056, Magyarország",47.4917539,19.0534548,47.4983815,19.0404707,"1.2248064158084848 km","32"
"182","Pizza Hut Arany János","Margarita pizza San Francisco stílusú tésztával (31cm)","2090",4.4,250,"Arany János utca 31","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Budapest","Budapest Arany János utca 31","Pizza Hut, 31, Arany János utca, Lipótváros, Budapest, Közép-Magyarország, 1051, Magyarország",47.5023808,19.0539236,47.4983815,19.0404707,"1.1068231725600275 km","31"
"183","Pizza Hut Arany János","Margarita serpenyõs pizza (31cm)","2790",4.4,250,"Arany János utca 31","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Budapest","Budapest Arany János utca 31","Pizza Hut, 31, Arany János utca, Lipótváros, Budapest, Közép-Magyarország, 1051, Magyarország",47.5023808,19.0539236,47.4983815,19.0404707,"1.1068231725600275 km","31"
"184","Pizza Hut Arany János","Margarita pizza San Francisco stílusú tésztával (38cm)","2790",4.4,250,"Arany János utca 31","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Budapest","Budapest Arany János utca 31","Pizza Hut, 31, Arany János utca, Lipótváros, Budapest, Közép-Magyarország, 1051, Magyarország",47.5023808,19.0539236,47.4983815,19.0404707,"1.1068231725600275 km","38"
"185","Pizza Hut Arany János","Margarita serpenyõs pizza (27cm)","2090",4.4,250,"Arany János utca 31","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Budapest","Budapest Arany János utca 31","Pizza Hut, 31, Arany János utca, Lipótváros, Budapest, Közép-Magyarország, 1051, Magyarország",47.5023808,19.0539236,47.4983815,19.0404707,"1.1068231725600275 km","27"
"186","Pizza Hut Miskolc Pláza","Margarita pizza San Francisco stílusú tésztával (31cm)","2090",4.6,174,"Szentpáli utca 4","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Miskolc","Miskolc Szentpáli utca 4","Szentpáli utca, Vörösmarty-városrész, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3530, Magyarország",48.1025839,20.7891051,48.1031503,20.7901985,"0.10294529179100084 km","31"
"187","Pizza Hut Miskolc Pláza","Margarita serpenyõs pizza (31cm)","2790",4.6,174,"Szentpáli utca 4","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Miskolc","Miskolc Szentpáli utca 4","Szentpáli utca, Vörösmarty-városrész, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3530, Magyarország",48.1025839,20.7891051,48.1031503,20.7901985,"0.10294529179100084 km","31"
"188","Pizza Hut Miskolc Pláza","Margarita pizza San Francisco stílusú tésztával (38cm)","2790",4.6,174,"Szentpáli utca 4","Pizza","Készpénzes fizetés","SZÉP kártyás fizetés",NA,NA,"Miskolc","Miskolc Szentpáli utca 4","Szentpáli utca, Vörösmarty-városrész, Miskolc, Miskolci járás, Borsod-Abaúj-Zemplén megye, Észak-Magyarország, Alföld és Észak, 3530, Magyarország",48.1025839,20.7891051,48.1031503,20.7901985,"0.10294529179100084 km","38"
